Concello,Albergue,Provincia
O Saviñao,Albergue Xacobeo Diamondi,Lugo
Sarria,Alberue Xacobeo Barbadelo,Lugo
Sarria,Albergue Xacobeo Calvor,Lugo
Sarria,Albergue Xacobeo Sarria,Lugo
Trasmiras,ALBERGUE VILADERREI,Ourense
Castroverde,Albergue Xacobeo Castroverde,Lugo
Muxía,Albergue Xacobeo Muxía,A_Coruña
Sandiás,ALBERGUE SANDIÁS,Ourense
Vilalba,Albergue Xacobeo Vilalba,Lugo
Palas de Rei,Albergue Xacobeo Mato-Casanova,Lugo
Palas de Rei,Albergue Xacobeo Os Chacotes,Lugo
Palas de Rei,Albergue Xacobeo Palas de Rei,Lugo
Mesía,Albergue Xacobeo Bruma,A_Coruña
Pedrafita do Cebreiro,ALBERGUE XACOBEO HOSPITAL DA CONDESA,Lugo
Pedrafita do Cebreiro,Albergue Xacobeo O Cebreiro,Lugo
Abadín,ALBERGUE XACOBEO Abadín,Lugo
Vilar de Barrio,ALBERGUE VILAR DE BARRIO,Ourense
Santiago de Compostela,Albergue Xacobeo San Lázaro,A_Coruña
Santiago de Compostela,Albergue Xacobeo Monte do Gozo,A_Coruña
Ordes,Albergue Xacobeo Poulo,A_Coruña
Guntín,Albergue Xacobeo Retorta,Lugo
O Pino,Albergue Xacobeo Santa Irene,A_Coruña
Vilasantar,Albergue Xacobeo Vilasantar,A_Coruña
Vigo,Albergue Xacobeo Vigo,Pontevedra
Arzúa,Albergue Xacobeo Ribadiso,A_Coruña
Arzúa,Albergue Xacobeo Arzúa,A_Coruña
Redondela,Albergue Xacobeo Redonela,Pontevedra
Xinzo de Limia,ALBERGUE XINZO DE LIMIA,Ourense
Portomarín,Albergue Xacobeo Gonzar,Lugo
Portomarín,ALBERGUE XACOBEO Hospital da Cruz,Lugo
Portomarín,Albergue Xacobeo Portomarín,Lugo
Tui,ALBERGUE TUI,Pontevedra
Triacastela,Albergue Xacobeo Triacastela,Lugo
Fonsagrada,Albergue Xacobeo Fonsagrada,Lugo
Melide,Albergue Xacobeo Melide,A_Coruña
Mondoñedo,Albergue Xacobeo Mondoñedo,Lugo
Carral,Albergue Xacobeo Sergude,A_Coruña
Miño,Albergue Xacobeo Miño,A_Coruña
Verín,ALBERGUE VERIN,Ourense
Vedra,ALBERGUE VEDRA,A_Coruña
O Pino-Valga,ALBERGUE VALGA,Pontevedra
Teo,Albergue Xacobeo TEO,A_Coruña
Negreira,Albergue Xacobeo Negreira,A_Coruña
Friol,Albergue Xacobeo A Cabana,Lugo
Merlán,Albergue Xacobeo Seixas,Lugo
Pontecesures,Albergue Xacobeo Pontecesures,Pontevedra
Lusío,Albergue Xacobeo Casa Forte de Lusío,Lugo
Boimorto,Albergue Xacobeo Boimorto,A_Coruña
Porriño,ALBERGUE PORRINO,Pontevedra
Lugo,Albergue Xacobeo Lugo,Lugo
A Gudiña,Albergue Xacobeo A Gudiña,Ourense
Ferrol,Albergue Público de Peregrinos de Ferrol,A_Coruña
Monterroso,Albergue Xacobeo Ligonde,Lugo
San Cristobo de Cea,MOSTEIRO DE OSEIRA,Ourense
Lalín,ALBERGUE LALIN,Pontevedra
Silleda,ALBERGUE BANDEIRA,Pontevedra
Ourense,Albergue OURENSE,Ourense
Ferreiros,Albergue Xacobeo Ferreiros,Lugo
Ribadeo,Albergue Xacobeo Ribadeo,Lugo
Betanzos,Albergue Xacobeo Betanzos,A_Coruña
Begonte,Albergue Xacobeo Baamonde,Lugo
O Pedrouzo (O Pino),Albergue Xacobeo Arca,A_Coruña
