"alojamiento","dia","mes","dia_semana","estacion","trimestre","ocupacion","municipio","provincia"
Albergue Xacobeo Arca,"2024-08-08",August,Thursday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-07",August,Wednesday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-06",August,Tuesday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-05",August,Monday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-04",August,Sunday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-03",August,Saturday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-02",August,Friday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-08-01",August,Thursday,Verano,Trimestre3,Ocupacion moderada baja,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-30",July,Tuesday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-29",July,Monday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-28",July,Sunday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-27",July,Saturday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-26",July,Friday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-25",July,Thursday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-24",July,Wednesday,Verano,Trimestre3,Ocupacion muy elevada,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-23",July,Tuesday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-22",July,Monday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-21",July,Sunday,Verano,Trimestre3,Ocupacion media,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-20",July,Saturday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-19",July,Friday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-18",July,Thursday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-17",July,Wednesday,Verano,Trimestre3,Ocupacion moderada alta,O Pedrouzo (O Pino),A_Coruña
Albergue Xacobeo Arca,"2024-07-16",July,Tuesday,Verano,Trimestre3,Ocupacion moderada baja,O Pedrouzo (O Pino),A_Coruña
