"id","geom","tipo","nome","enderezo","concello","cp","telefono","longitud","latitud"
31902,POINT (-7.844 43.4499),desfibrilador,Pavill�n Polideportivo Municipal,,as pontes,,,-7.844,43.4499
11354,POINT (-9.104758736237 42.7568817182107),vivendas_turisticas,MANUEL AMADOR VÁZQUEZ SÁNCHEZ,LG. XALFAS Nº 10,muros,"15291",,-9.104758736237,42.7568817182107
11492,POINT (-9.1569279872366 43.0838486439999),vivendas_turisticas,EULALIA,"LG. OZÓN, Nº 46",muxía,"15124",,-9.1569279872366,43.0838486439999
11589,POINT (-9.1626993223615 43.1167912203544),vivendas_turisticas,VINCULEIRO,RÚA LEIS,muxía,"15124",,-9.1626993223615,43.1167912203544
12418,POINT (-8.1708938616622 43.4067999373674),vivendas_turisticas,TORREON,"RÚA REAL Nº 1, PISO 3",pontedeume,"15600",,-8.1708938616622,43.4067999373674
7294,POINT (-8.4029651775638 43.3751419517728),vivendas_turisticas,SOL Y MAR CON TERRAZA,"RÚA BARRIE DE LA MAZA Nº 1, PISO 6º LETRA 612",a coruña,"15003",,-8.4029651775638,43.3751419517728
7296,POINT (-8.4052991 43.377079),vivendas_turisticas,SOMBRIZA DOS,"RÚA ADELAIDA MURO, Nº 1 BLOQUE B -, PISO 2º LETRA C",a coruña,"15002",,-8.4052991,43.377079
7340,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 4 LETRA D",a coruña,"15007",,-8.4179480139894,43.3595686289892
31903,POINT (-7.8568 43.4502),desfibrilador,Piscina Municipal Climatizada,,as pontes,,,-7.8568,43.4502
14171,POINT (-8.1049719 43.330062),vivendas_turisticas,LUCINDA,LG. LOBEIRAS Nº 11,vilarmaior,"15637",,-8.1049719,43.330062
141,POINT (-9.079738 42.758446),farmacia,Farmacia C-460-F,"LOURO, Nº S/N",muros,"15291","981826109",-9.079738,42.758446
7341,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 5 LETRA IZQ",a coruña,"15007",,-8.4179480139894,43.3595686289892
166,POINT (-8.735073 42.216625),farmacia,Farmacia PO-332-F,"FRAGOSO, Nº 55",vigo,"36210","986204310",-8.735073,42.216625
7342,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 5 LETRA D",a coruña,"15007",,-8.4179480139894,43.3595686289892
160,POINT (-8.731271 42.09868),farmacia,Farmacia PO-423-F,"FONTE (A), Nº S/N",gondomar,"36389","986389066",-8.731271,42.09868
7343,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 2 LETRA D",a coruña,"15007",,-8.4179480139894,43.3595686289892
259,POINT (-8.236225 43.483179),farmacia,Farmacia C-099-F,"REAL, Nº 165",ferrol,"15402","981352034",-8.236225,43.483179
7344,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 2 LETRA IZQ",a coruña,"15007",,-8.4179480139894,43.3595686289892
7345,POINT (-8.4179480139894 43.3595686289892),vivendas_turisticas,VELFACOR,"RÚA SAN LUCAS Nº 2, PISO 1 LETRA IZQ",a coruña,"15007",,-8.4179480139894,43.3595686289892
194,POINT (-8.670734 42.853522),farmacia,Farmacia C-568-F,"NOIA, Nº 12",brión,"15280","981884321",-8.670734,42.853522
7346,POINT (-8.4222388053478 43.3461246591153),vivendas_turisticas,VERANO AZUL,"RÚA RAFAEL DIESTE, Nº 9 -, PISO 7º LETRA CT.",a coruña,"15009",,-8.4222388053478,43.3461246591153
7348,POINT (-8.4030734791575 43.3767799919033),vivendas_turisticas,VÍCTOR IVÁN POMBO GÓMEZ,"RÚA ÁNGEL REBOLLO, Nº 67 -, PISO 6º",a coruña,"15002",,-8.4030734791575,43.3767799919033
7349,POINT (-8.3948857041118 43.3500599863794),vivendas_turisticas,VÍCTOR MANUEL ORIZALES ARMADA,"RÚA FARIÑA FERREÑO Nº 20, PISO 3 LETRA A",a coruña,"15009",,-8.3948857041118,43.3500599863794
1315,POINT (-8.63776 42.44579),farmacia,Farmacia PO-071-F,"MEDICO BALLINA, Nº 2",pontevedra,"36005","986871461",-8.63776,42.44579
20220,POINT (-8.791852 42.5147197),vivendas_turisticas,"2D","VILARIÑO Nº 31B, PISO 2 LETRA D",cambados,"36630",,-8.791852,42.5147197
7478,POINT (-8.9397351165822 42.6012739134605),vivendas_turisticas,ANTONIO AGRELO RÍOS,"RÚA GASSET, Nº 62 - , PISO 1º LETRA A",a pobra do caramiñal,"15940",,-8.9397351165822,42.6012739134605
1636,POINT (-8.66388 42.205246),centro_saude,CENTRO SAUDE MOS,AVENIDA REBULLON S/N,mos,"36416","986486667",-8.66388,42.205246
21547,POINT (-8.7309999974492 42.300004723743),vivendas_turisticas,LA CABAÑA,BERDUCEDO Nº 89,moaña,"36959",,-8.7309999974492,42.300004723743
21628,POINT (-8.7509957823644 42.2792354678022),vivendas_turisticas,SANMARTÍN,O CASAL Nº 86,moaña,"36954",,-8.7509957823644,42.2792354678022
31904,POINT (-8.6895 42.257),desfibrilador,Porter�a MetalShips&Docks,,vigo,,,-8.6895,42.257
32044,POINT (-8.4174 43.3685),desfibrilador,Estadio Riazor - Grada Preferente2,,a coruña,,,-8.4174,43.3685
1779,POINT (-8.910597 42.84399),centro_saude,CENTRO SAUDE OUTES,CALLE BOSQUE S/N,outes,"15230","981851097",-8.910597,42.84399
31905,POINT (-8.2248 43.4827),desfibrilador,Pabell�n Polideportivo de Esteiro,,ferrol,,,-8.2248,43.4827
31906,POINT (-8.2006 43.4811),desfibrilador,Pabell�n de Caranza,,ferrol,,,-8.2006,43.4811
